Customer ID,Product ID,Product Category,Purchase Amount,Purchase Date
C202,P036,Clothing,220.21,2023-07-01
C475,P004,Books,233.87,2023-01-07
C113,P024,Books,135.65,2023-05-06
C195,P040,Electronics,223.41,2023-12-12
C462,P028,Books,467.9,2023-08-28
C112,P029,Books,303.79,2023-01-21
C410,P011,Books,317.8,2023-08-31
C453,P043,Books,34.74,2023-04-15
C121,P012,Electronics,344.25,2023-03-08
C043,P034,Home & Kitchen,358.25,2023-03-30
C272,P035,Books,252.55,2023-09-20
C195,P022,Electronics,419.73,2023-08-28
C209,P013,Home & Kitchen,304.41,2023-02-23
C183,P024,Books,235.92,2023-10-28
C365,P019,Home & Kitchen,80.53,2023-09-25
C301,P023,Books,171.61,2023-10-17
C477,P036,Clothing,34.47,2023-07-11
C469,P031,Books,156.34,2023-12-28
C157,P049,Electronics,229.22,2023-10-16
C436,P027,Toys & Games,222.89,2023-08-27
C484,P047,Clothing,326.03,2023-05-27
C146,P043,Books,399.93,2023-09-09
C380,P022,Electronics,499.46,2023-04-13
C132,P011,Books,494.84,2023-08-31
C177,P032,Home & Kitchen,494.06,2023-07-14
C168,P044,Clothing,259.31,2023-02-27
C080,P049,Electronics,166.14,2023-09-25
C063,P004,Books,247.55,2023-12-08
C469,P021,Home & Kitchen,159.29,2023-10-26
C428,P022,Electronics,495.11,2023-04-28
C105,P013,Home & Kitchen,140.23,2023-05-20
C202,P021,Home & Kitchen,369.64,2023-12-06
C461,P030,Home & Kitchen,171.4,2023-02-11
C421,P029,Books,75.52,2023-06-16
C321,P022,Electronics,345.13,2023-11-01
C192,P035,Books,14.93,2023-01-09
C077,P033,Electronics,335.99,2023-03-22
C096,P041,Home & Kitchen,268.74,2023-06-22
C037,P042,Clothing,65.61,2023-03-07
C215,P046,Books,142.81,2023-11-21
C092,P026,Electronics,321.58,2023-09-23
C396,P005,Clothing,277.23,2023-12-04
C011,P043,Books,86.44,2023-05-16
C321,P027,Toys & Games,177.13,2023-12-17
C316,P004,Books,270.41,2023-09-20
C266,P020,Toys & Games,196.19,2023-12-01
C109,P014,Toys & Games,362.09,2023-05-01
C234,P049,Electronics,56.86,2023-02-26
C435,P019,Home & Kitchen,236.65,2023-10-20
C129,P028,Books,409.6,2023-06-30
C051,P009,Toys & Games,128.63,2023-09-05
C316,P018,Electronics,214.93,2023-06-16
C189,P026,Electronics,63.91,2023-09-18
C031,P050,Home & Kitchen,203.75,2023-03-25
C348,P013,Home & Kitchen,208.8,2023-01-16
C239,P007,Books,410.66,2023-03-15
C031,P030,Home & Kitchen,144.04,2023-09-23
C024,P033,Electronics,59.59,2023-12-13
C223,P029,Books,140.42,2023-07-30
C074,P022,Electronics,191.92,2023-07-25
C413,P014,Toys & Games,394.59,2023-01-01
C019,P004,Books,160.03,2023-07-30
C137,P035,Books,397.54,2023-09-29
C192,P016,Toys & Games,237.33,2023-08-20
C368,P002,Books,159.44,2023-02-09
C210,P050,Home & Kitchen,429.02,2023-06-01
C386,P045,Clothing,296.09,2023-07-03
C387,P029,Books,286.3,2023-12-28
C028,P010,Home & Kitchen,334.04,2023-08-21
C226,P021,Home & Kitchen,374.13,2023-09-01
C473,P009,Toys & Games,118.64,2023-06-19
C121,P022,Electronics,312.49,2023-02-02
C356,P048,Books,100.3,2023-01-28
C497,P032,Home & Kitchen,98.71,2023-10-10
C246,P028,Books,396.79,2023-09-23
C117,P046,Books,302.68,2023-11-14
C320,P042,Clothing,91.67,2023-11-22
C371,P043,Books,38.94,2023-11-13
C192,P031,Books,345.35,2023-02-20
C133,P038,Home & Kitchen,438.1,2023-02-11
C011,P019,Home & Kitchen,84.86,2023-03-04
C206,P029,Books,414.31,2023-03-17
C138,P044,Clothing,68.77,2023-08-08
C191,P035,Books,472.38,2023-12-23
C193,P012,Electronics,448.92,2023-01-21
C437,P041,Home & Kitchen,396.36,2023-06-22
C334,P039,Books,5.88,2023-07-05
